"Topic","Question","Answer"
"Atomic structure","Name the 3 subatomic particles","Proton, neutron, electron"
"Atomic structure","What is the relative mass of an electron","1/2000 or 1/1840"
"Atomic structure","What letters do we use to represent mass number and atomic number","Mass number = M and Atomic number = Z"
"Atomic structure","How is a positive ion formed","By losing electrons"
"Atomic structure","What ion would be expected to be formed by an element in group 6","2- ion"
"Atomic structure","What is the formula of the ... ion","..."
"Atomic structure","Write the chemical formula of …","..."
"Atomic structure","Define isotope","Isotopes are atoms of the same element (same number of protons) with different numbers of neutrons"
"Atomic structure","Calcualte the number of neutrons in C12 and C14","6 in C12 and 8 in C14"
"Atomic structure","Why do isotopes have the same chemical properties","Same number of electrons"
"Atomic structure","Describe the atomic model proposed by JJ Thompson","Plum pudding model, sphere of positive charge with electrons dotted around"
"Atomic structure","Describe the experiment of Rutherford where he discovered the nucleus","Fired alpha particles at gold foil and some deflected and a few bounced back showing small centres of positive charge"
"Atomic structure","Describe the atomic model proposed by Bohr","Positive nucleus surrounded by electrons in defined shells"
"Atomic structure","How could you calculate the mass of one atom of oxygen using its Ar of 16","16 divided by the avogadro constant (6.022 x 10^23)"
"Atomic structure","What is meant by relative atomic mass","Mean mass of atoms of an element relative to the mass of 12g of carbon 12"
"Atomic structure","Whate are the 4 main stages in mass spectrometry","Ionisation, acceleration, drift, detection"
"Atomic structure","Write a generic equation to show the ionisation of X in a mass spectrometer","X (g) --> X+ (g)+ e-"
"Atomic structure","What are the two methods of ionisation that could be used in a mass spectrometer?","electron impact and electrospray"
"Atomic structure","Describe what happens during electrospray ionisation","Particles gain a proton"
"Atomic structure","Compare the speed and kinetic energy of a lithium and potassium atom in TOF mass spectrometry","Speed of lithium faster than potassium. Both have same KE"
"Atomic structure","What is meant by the molecular ion peak","The highest m/z value on the spectrum of a molecule, formed when the molecule does not break up"
"Atomic structure","Why is m/z used in a mass spectrum not just mass","Because atoms can be doubly ionised and would be accelerated more quickly"
"Atomic structure","How are ions detected in a mass spectrometer?","ions hit the detector and gain electrons, which causes a current to flow"
"Atomic structure","How can you determine the number of ions hitting the detector at a m/z value?","The size of the current indicates how many ions are hitting the detector"
"Atomic structure","Calculate the Ar of an element sample which is made up of 75% C12 and 25% C14","12.5"
"Atomic structure","How many electrons can the s, p and d orbitals each hold","s = 2, p = 6, d = 10"
"Atomic structure","Write the electronic configuration of an element with ... electrons","..."
"Atomic structure","Write the electronic configuration of ……","..."
"Atomic structure","Which two transition metal elements do not have a full 4s orbital","Chromium and copper"
"Atomic structure","Which energy levels do electrons fill first?","Electrons fill orbitals in order from lowest energy to highest energy"
"Atomic structure","Where would two electrons in a p orbital go?","Electrons fill orbitals singularly before pairing up"
"Atomic structure","Fe has electron configuration [Ar] 4s2 3d6. what is the electron configuration of the Fe3+ ion","[Ar] 3d5"
"Atomic structure","Define first ionisation energy","The energy required to remove one mole of electrons from one mole of atoms in the gaseous state"
"Atomic structure","Write an equation to show the ... ionisation energy of ...","..."
"Atomic structure","Is ionisation energy exothermic or endothermic","Endothermic - requires energy"
"Atomic structure","How does nuclear charge affect ionisation energy","Increasing nuclear charge increase ionisation energy as electrons harder to remove"
"Atomic structure","How does 1st ionisation energy change down the group and give 2 reasons why","Decreases down group. Electrons further from nucleus so less attraction and more shielding so less attraction"
"Atomic structure","Write an equation to show the third ionisation energy of nitrogen","N/u2082+ --> N3+ + e-"
"Atomic structure","Why do group 3 elements eg. Al, not fit the trend in ionisation energy across the period","Electrons removed from a p orbital which is further from the nucleus so less attraction so ionisation energy decreases"
"Atomic structure","Why do group 6 elements eg. O, not fit the trend in ionisation energy across the period","Electrons removed from an orbital with spin pairing which gives some repulsion so easier to remove. So ionisation energy decreases"
"Quantitative chem","What is the relative atomic mass of an atom?","The average mass of an atom of an element (taking into account its naturally occurring isotopes)4 relative to 1/12 the relative atomic mass of an atom of carbon-12"
"Quantitative chem","What is the relative molecular mass of a molecule?","The mass of a molecule compared to 1/12 the relative atomic mass of an atom of carbon-12"
"Quantitative chem","What is the relative atomic mass of X?","Relative mass of X taken from the A Level data sheet"
"Quantitative chem","What is the relative molecular mass of X?","Sum of relative atomic masses of all constituent atoms taken from the A Level data sheet"
"Quantitative chem","What is a mole?","A specific number of particles"
"Quantitative chem","What is the Avogadro Constant?","The number of things in a mole, 6.022x10²³ - will always be given to you"
"Quantitative chem","How many X particles are in Y moles of Z?","(number of X in Z) x (Y) x (6.022x10²³)"
"Quantitative chem","How are the number of moles of a substance established from its mass?","Moles = mass/Mr"
"Quantitative chem","How many moles are in Xg of Y?","X/Mr of Y"
"Quantitative chem","What is the mass of X moles of Y?","X x Mr of Y"
"Quantitative chem","X moles of a substance has a mass of Y. What is its Mr?","Y/X"
"Quantitative chem","Calculate the yield of a given reaction which results in Xg of product having started with Yg of reactant","Molar ratio from balanced equation, actual mass/expected mass x 100"
"Quantitative chem","A given reaction has a yield of Y% and Xg of product formed. What mass of reactant was used?","Divide X by Y and use molar ratio to calculate mass of reactant"
"Quantitative chem","What standard units are used for concentration of a solution?","moldm⁻³"
"Quantitative chem","How are cm³ converted to dm³?","Divide by 1000"
"Quantitative chem","X moles of a substance is dissolved in Yzm³ of water. What is its concentration?","After converting to dm³ X/Y"
"Quantitative chem","How many moles are in Abm³ of Cmoldm⁻³ solution?","After proper conversions, AxC"
"Quantitative chem","What mass of X must be added to Ydm³ of solution to make a Zmoldm⁻³ solution?","Y x Z and multiply by Mr of X"
"Quantitative chem","What volume of water must be added to Xcm³ of Ymoldm⁻³ solution to turn it into a Zmoldm⁻3 solution?","calculate moles in Y. Calculate volume required to make it Z. Subtract X from answer."
"Quantitative chem","What are concordant titres?","Titres within 0.1cm³ of each other"
"Quantitative chem","What colour is phenolphthalein in acid and alkali?","Colourless in acid, purple in alkali"
"Quantitative chem","Calculate the concentration of an unknown acid/alkali from titration with an unknown alkali/acid","Establish molar ratios, establish number of moles of known solution, establish moles of unknown solution needed, calculate concentration from vol of unknown"
"Quantitative chem","State the ideal gas equation","PV = nRT"
"Quantitative chem","Give the units for P, V and T","P in pascals, V in m³, T in kelvin"
